Sample in Buffer,Sample in Window,TRIGGER,axi_stream_gen_mon_1/rx_axis_tdata[63:0],axi_stream_gen_mon_1/rx_axis_tkeep[7:0],axi_stream_gen_mon_1/rx_axis_tvalid,axi_stream_gen_mon_1/rx_axis_tlast,axi_stream_gen_mon_1/rx_axis_tuser,axi_stream_gen_mon_1/rx_axis_tready,axi_stream_gen_mon_1/tx_axis_tdata[63:0],axi_stream_gen_mon_1/tx_axis_tkeep[7:0],axi_stream_gen_mon_1/tx_axis_tvalid,axi_stream_gen_mon_1/tx_axis_tlast,axi_stream_gen_mon_1/tx_axis_tuser,axi_stream_gen_mon_1/tx_axis_tready_1,axi_stream_gen_mon_1/tx_axis_tdata_lb[63:0],axi_stream_gen_mon_1/tx_axis_tkeep_lb[7:0],axi_stream_gen_mon_1/tx_axis_tvalid_lb,axi_stream_gen_mon_1/tx_axis_tlast_lb,axi_stream_gen_mon_1/tx_axis_tuser_lb,axi_stream_gen_mon_1/rx_axis_tready_lb,axi_stream_gen_mon_1/tx_axis_tdata_g[63:0],axi_stream_gen_mon_1/tx_axis_tkeep_g[7:0],axi_stream_gen_mon_1/tx_axis_tvalid_g,axi_stream_gen_mon_1/tx_axis_tlast_g,axi_stream_gen_mon_1/tx_axis_tuser_g,axi_stream_gen_mon_1/tx_axis_tready
1023,1023,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,0
1024,1024,1,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1025,1025,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1026,1026,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1027,1027,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1028,1028,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1029,1029,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1030,1030,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1031,1031,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1032,1032,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1033,1033,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1034,1034,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1035,1035,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1036,1036,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1037,1037,0,00ad2be32bffbfff,07,1,1,1,1,c006c006c006c006,07,1,1,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,07,1,1,0,1
1038,1038,0,5555550000000000,01,0,0,0,1,0000222200000000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000222200000000,ff,1,0,0,1
1039,1039,0,5555550000000000,01,0,0,0,1,c0077d0011110000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c0077d0011110000,ff,1,0,0,1
1040,1040,0,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,07,1,1,0,1,c007c007c007c007,ff,1,0,0,1
1041,1041,0,c0007d0011110000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1042,1042,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,0
1043,1043,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,0
1044,1044,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1045,1045,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1046,1046,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1047,1047,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1048,1048,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1049,1049,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1050,1050,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1051,1051,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1052,1052,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1053,1053,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1054,1054,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1055,1055,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1056,1056,0,c000c000c000c000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,ff,1,0,0,1
1057,1057,0,005f1006a700c000,07,1,1,1,1,c007c007c007c007,07,1,1,0,1,0000333300000000,ff,1,0,0,1,c007c007c007c007,07,1,1,0,1
1058,1058,0,0000000000000000,07,0,0,0,1,0000222200000000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000222200000000,ff,1,0,0,1
1059,1059,0,0000000000000000,07,0,0,0,1,c0087d0011110000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c0087d0011110000,ff,1,0,0,1
1060,1060,0,0000000000000000,07,0,0,0,1,c008c008c008c008,ff,1,0,0,1,0000333300000000,07,1,1,0,1,c008c008c008c008,ff,1,0,0,1
1061,1061,0,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1
1062,1062,0,c0017d0011110000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,0
1063,1063,0,c001c001c001c001,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,0
1064,1064,0,c001c001c001c001,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,0
1065,1065,0,c001c001c001c001,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1
1066,1066,0,c001c001c001c001,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1
1067,1067,0,c001c001c001c001,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1
1068,1068,0,c001c001c001c001,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1
1069,1069,0,c001c001c001c001,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1
1070,1070,0,c001c001c001c001,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1
1071,1071,0,c001c001c001c001,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c008c008c008c008,ff,1,0,0,1
